id,cleaned_text,label,label_numeric
1,ci intan panggil cina,hate_speech,0
2,nampak lelah keringat kucur deras sampahhhhh,hate_speech,1
3,si aki herkules nantangin sunda hatihati ah lek herkulesjelek suku lagu santet jenglot ntar idup gimana jenglot,hate_speech,1
4,diam ah trump,not_hate_speech,0
5,kasihan yatim piatu janda hak terima zakat sah prioritas mobil mewah jabat direksi,not_hate_speech,0
6,ngegoda gas,not_hate_speech,0
7,mampusssss degan anjirrrrrrrr panassssas,hate_speech,1
8,tuhan mampus bantai cipta tuhan,hate_speech,1
9,iyaitu itungan jawa,not_hate_speech,0
10,nasib pimpin cabul muda harap iler kaleee,hate_speech,1
11,garagara tikus,not_hate_speech,0
12,tpi brand x nk approach monsta x jdi duta depa mude je hot,not_hate_speech,0
13,asu situ ku ku yaa sat si anj daftar haji ikn mu yaa sat tamak manusia,hate_speech,1
14,ken disalamin hormat ye yeorobun adab hormat,not_hate_speech,0
15,arwah mmg sudu kuah jeada org mmg lamq nak pmdah pm pundia mmg x,not_hate_speech,0
16,gmna jir gerak gerik jawa,not_hate_speech,0
17,teori evolusi sains monyet manusia dongeng manusia tuhan,not_hate_speech,0
18,ngerokok pasang polos nangisnangis live fans biar dimaafin backdoor advertising brand clothing his brother mannerless memb ky jimin or taehyung bnyak,not_hate_speech,0
19,semut anying beda weh,hate_speech,1
20,out of nowhere tetibe pasal kenal stranger dkt socmed tlg eh kenal someone thru ig or x or make sure jumpa how to see the person eh org catfish muda tlg eh,not_hate_speech,0
21,kaya toleransi islam ninggalin puasa ramadhan,not_hate_speech,0
22,kota jawa,not_hate_speech,0
23,dar caca angkat najis bini,hate_speech,1
24,result oregon shio babi menang,not_hate_speech,0
25,prabowo buktiin perhati papua janji aksi nyata mbg,not_hate_speech,0
26,chat laku gercep gercep beli,not_hate_speech,0
27,bajing si han naksir gyu tai,hate_speech,1
28,baik ratus dolar informasi main kembali pada pria gema kepala putar usia belas,not_hate_speech,0
29,bangga layout komunis anj,hate_speech,1
30,kipli kya anomali usia tpi maennya kya main bola usia prime konsisten ampe monster maybe bdor under th,not_hate_speech,0
31,kaga kelar club,not_hate_speech,0
32,sampe full layar adek nda iyatan,not_hate_speech,0
33,pj gubenur papua ramses limbong peduli bantu bencaana banjir kasonaweja,not_hate_speech,0
34,anggap cina pdhal cina anggap sanpah gantung luhut jual gantung luhut jadi indonesia rrc,hate_speech,1
35,emng wkwkwk,not_hate_speech,0
36,film jumbo sesat ngajarin percaya hantu nonton film nanya otak jalan tinggal jelasin fiksi nontom doraemon gede nonton sinetron sc geraldvincentt,hate_speech,1
37,yhaaa apk kandang monyet bahas berita palagi dri kalang fans ros yakali lagu plagiat begtuan laku tcih,hate_speech,1
38,sadar cp an drakor or dracin dibaperin layar,not_hate_speech,0
39,perempuan indonesia aku layza ukraina ambil kamar layza ukraina tangkap polisi lapor polisi si jilbab tipu tangkap perempuan asing langsung lepas,hate_speech,1
40,pupuk sampe paulus nulis injil ajar elo elo tuduh org nulis elo kritis buat buta huruf cabul elo dengerin bulat balik logika,hate_speech,1
41,cuti terengganu banjir kilat duta lupa kian kian,not_hate_speech,0
42,bantu,not_hate_speech,0
43,bodoh ruslan harun bin pukimak telur kecut punai basuh ko kerepot la lan oi otak udang ko parlimen bubar cina automatik dap pegang raja ko lan pukimak ahli group ko warganegara indonesia u got kepala butoh only,hate_speech,1
44,ceo batu muda wehyucks pedo,hate_speech,1
45,bahas main tpi obat herbal,not_hate_speech,0
46,muslim status agama ktpnya tulis islam manusia jahil bodoh banget asong agama rahayu islam,hate_speech,1
47,tanya milih tinggal milih jt tinggal pilih tinggal jt,not_hate_speech,0
48,ganggu jiwa rumah dh syukur turut pantes saudara ganggu mental butuh psikolog karna ortunya elu inget sampe sebab utama mental hidup rusak karna,hate_speech,1
49,nama plecehan kpd wanita dsar mesum adab kpd wanita moga lapor ybs,hate_speech,1
50,halah terna buzzer ragebait manasin isu radikal,not_hate_speech,0
51,duhwaktu an deket orng dukun dukun pohon jambu n mangga aman nyolongyg berani psti malemnya diabisin jambu mangga pohon angker kencingin rame,not_hate_speech,0
52,marah umat islam luap gus fuad plered duga hina tuntut hukum gema via,hate_speech,1
53,mending ditake down ibu taku diapain usaha kaaak,not_hate_speech,0
54,akal islam peran beban syariat akal konsekuensi pilih akal,not_hate_speech,0
55,idup rumah bareng hri hidup wkkwk salah mata,hate_speech,1
56,canggung,not_hate_speech,0
57,kasep reallll,not_hate_speech,0
58,ello ganteng,not_hate_speech,0
59,pro karna kasi anak banyakkk tpi pakai istilah rezeki tpi keras cari nafkah tetep susah,hate_speech,1
60,pakai ijazah palsu mahmemalukansungguh bohong indonesia astaghfirullahanda takut bohong bohong terusss,hate_speech,1
61,sure maybe nak sihat slow je kuih sedap p,not_hate_speech,0
62,sumpah org stamina takleh catchup gin,not_hate_speech,0
63,mahal,not_hate_speech,0
64,raya yahudi pesach mukim haram al khalil hebron selenggara tur khusus berjalanjalan kota siap acara kota penuh gerombol serdadu israel jaga sudut jalan,not_hate_speech,0
65,gold main roleku midexp takut gold jdi role kunci late game slalu blame sekali gold goldnya mulu sampe gemeter gold skarang main roleku gold,not_hate_speech,0
66,betulgk malu yaane tmb ane,hate_speech,1
67,kalo muda cewek tuamuda anak pinak pria duda minta bantu,hate_speech,1
68,waris budaya tradisional gamelan bal indonesia gamelan wayahtua selonding angklung gender wayang genggong baleganjur gambang gamelan madya mar pagulingan pagambuhan gong gede gamelan anyarbaru joged bumbung gong kebyar janger jegog tekte,not_hate_speech,0
69,maksud gmn,not_hate_speech,0
70,org berani ngomongin ham culik jing posisi skip topik ham si seengganya org,hate_speech,1
71,langsung pikir paman pergi jawa,not_hate_speech,0
72,gagal lindung warga hitung hasil rongsok tewas logam prioritas,not_hate_speech,0
73,tepat tonton ayah langsung ikut jawa barat bandung raya tonton persib,not_hate_speech,0
74,giler si baju hijau masuk org cari gaduh otak otak kastam rampas,hate_speech,1
75,sdmnya g hormat mentang enak tara kerja,hate_speech,1
76,flashback elon musk masuk program doktoral fisika stanford kuliah langsung do nyangka ngancurin depan kecewa dosen heran temanteman kali,not_hate_speech,0
77,tawan datengin temenku beda krlas sayang beda kelas ngejelasin alas takut kuliah marahin ak,hate_speech,1
78,main hakim kesel wanita keras hidup luka lapar minimal kikir,hate_speech,1
79,uehihuhihuhhihuhhiii yeyyyy anak,not_hate_speech,0
80,ngacak syariat islam babi knp munyung gatal kl adu domba umat islam sengaja keluar redam ijazah kykny btwsy aamiinin doa syurga mmg manusia,hate_speech,1
81,si,not_hate_speech,0
82,gantung biasa daerah kunjung sepuh sodara ken keliling tetangga datengin cerita didatengin insecure kali post begitu,not_hate_speech,0
83,edy tusi sub mehangay,not_hate_speech,0
84,fak pod ilang anying,hate_speech,1
85,smt,not_hate_speech,0
86,bansos butuh vasektomi,not_hate_speech,0
87,bab totok mendonia aniaya boss maihiddin pagoh la addendum muslimat boss sang samun deme pekat hingat la melukut tepi gantang kepala,hate_speech,1
88,bukti temu tinggal barus erat arab islam buku lobu sejarah barus sunting claude guillot terang orangorang arab kait barus,not_hate_speech,0
89,belai maleh ko ah kencing litter box,not_hate_speech,0
90,kucing kaya bule,not_hate_speech,0
91,pilih bom bule injak hormat bal sy asli bal sy bule kolonial rugi bal efek jangka,hate_speech,1
92,baca tulis x ber profile korea animek tambah komun isi caper maki org,hate_speech,1
93,benar apa benar roy suryo tuju,hate_speech,1
94,tetep bareng agens moga agens nyiain kali yah,not_hate_speech,0
95,mulyono main watak layar catur ulung dngn gesture jawa dmn jawa nyimpan keris yupz belakang be aware jawa kena tikam kejap sadar buzzer aje sampe aku,not_hate_speech,0
96,meanwhile perempuan efek negatif panjang minum pil kb resiko kanker or another sakit reproduksi ujung parah solusi angkat rahim gabisa hamil eh disalahin istri,not_hate_speech,0
97,semester pikir double degree ken ambil jurus teknik kimia or kimia murni,not_hate_speech,0
98,sihh sunda cicing stranger kasar sopan cicing dipake temen.. tapi ada yg lebih kasar lagi dari cicing yaitu ngajedog,not_hate_speech,0
99,yee oon bodoh kau tua bangka gdk minta maaf pula,hate_speech,1
100,dunia ini udah di isi sama orang orang gila kayaknya. Yg mukulin lahir dari pantat sapi tuh pasti maka nya gatau rasa nya punya orang tua. Manusia tapi ga punya jiwa kemanusiaan. Si ibu emang salah kalo narasi diatas benar tp pake sisi kemanusiaan lah kontol. Tega bener,hate_speech,1
101,pendemo pro palestina gegara konten youtube gaza palestina untuk hasut menyakiti menyerang ibu farida. Demonstrasi apapun temanya para orator berorasi menteriaki disisipi memaki kedua nama orang tua yaitu ibuku FARIDA RUSDIAH &amp; SIDIK PURNOMO. Pelopor Islam itu indah di TransTV,hate_speech,1
